Year,Temperature,Precipitation,Scenario,Model
2022,23.93529356060606,1635.1288822243698,ssp370,inm-cm5-0
2022,24.141960227272723,1664.2593289340402,ssp370,miroc6
2022,23.20569128787879,1720.494166799228,ssp370,mpi-esm1-2-hr
2022,22.22500946969697,1804.758667131051,ssp370,noresm2-mm
2022,23.087244318181817,2022.5083492711765,ssp585,access-cm2
2022,23.783626893939395,1612.777421974348,ssp585,inm-cm5-0
2022,23.437793560606057,1821.2653359562196,ssp585,miroc6
2022,23.31652462121212,1696.9770501531818,ssp585,mpi-esm1-2-hr
2022,23.2908428030303,1695.0753758329106,ssp585,noresm2-mm
2023,23.53557765151515,1744.020490052223,ssp126,access-cm2
2023,23.342793560606058,1936.8479927422047,ssp126,inm-cm5-0
2023,23.56446022727273,1798.080036324586,ssp126,miroc6
2023,23.377357954545456,1976.85339741791,ssp126,mpi-esm1-2-hr
2023,23.39167613636364,1613.5974561111145,ssp126,noresm2-mm
2023,23.611410984848487,1455.972008526656,ssp245,access-cm2
2023,23.562793560606057,1975.678405104867,ssp245,inm-cm5-0
2023,23.807793560606058,1980.3916032692487,ssp245,miroc6
2023,23.903191287878787,1714.301186670563,ssp245,mpi-esm1-2-hr
2023,22.976676136363636,1878.476580477208,ssp245,noresm2-mm
2023,23.97974431818182,1903.6708900235562,ssp370,access-cm2
2023,23.679460227272727,2004.8168166303562,ssp370,inm-cm5-0
2023,22.88612689393939,1496.2409620815406,ssp370,miroc6
2023,22.41152462121212,2310.992568884576,ssp370,mpi-esm1-2-hr
2023,22.74750946969697,1960.162311451845,ssp370,noresm2-mm
2023,23.34474431818182,1677.5438874172305,ssp585,access-cm2
2023,23.659460227272728,1976.2219693046554,ssp585,inm-cm5-0
2023,23.734460227272724,1794.6697123055155,ssp585,miroc6
2023,23.26402462121212,1663.8893398060313,ssp585,mpi-esm1-2-hr
2023,23.18500946969697,1800.1841673368447,ssp585,noresm2-mm
2024,23.283910984848486,2032.3875084235628,ssp126,access-cm2
2024,24.223626893939393,1580.0489651785306,ssp126,inm-cm5-0
2024,24.429460227272727,1752.2407330502983,ssp126,miroc6
2024,23.882357954545455,1690.009097858674,ssp126,mpi-esm1-2-hr
2024,23.389176136363634,1695.1249907440215,ssp126,noresm2-mm
2024,23.754744318181817,1671.2617532524825,ssp245,access-cm2
2024,23.577793560606057,1686.4396516264787,ssp245,inm-cm5-0
2024,24.69862689393939,1308.4237414890747,ssp245,miroc6
2024,23.789857954545454,1508.1363636831113,ssp245,mpi-esm1-2-hr
2024,23.076676136363634,2073.3362800309187,ssp245,noresm2-mm
2024,23.414744318181818,1680.4516516286337,ssp370,access-cm2
2024,23.976960227272727,1670.007166167228,ssp370,inm-cm5-0
2024,23.03112689393939,2070.949990189828,ssp370,miroc6
2024,22.598191287878787,2198.759877050055,ssp370,mpi-esm1-2-hr
2024,23.086676136363636,1704.8034730678455,ssp370,noresm2-mm
2024,22.89724431818182,2206.3252018485355,ssp585,access-cm2
2024,23.323626893939394,2047.4207604229487,ssp585,inm-cm5-0
2024,23.741126893939395,1948.4592124218536,ssp585,miroc6
2024,24.159024621212122,1357.1864616910302,ssp585,mpi-esm1-2-hr
2024,23.919176136363635,1608.9954283715806,ssp585,noresm2-mm
2025,23.84391098484848,1883.5958391267172,ssp126,access-cm2
2025,23.118626893939393,1694.8252571981923,ssp126,inm-cm5-0
2025,24.21529356060606,2002.1697135893426,ssp126,miroc6
2025,24.285691287878787,1956.4936929504888,ssp126,mpi-esm1-2-hr
2025,24.072509469696968,1716.0248775552336,ssp126,noresm2-mm
2025,23.79557765151515,1776.9643819694095,ssp245,access-cm2
2025,23.92529356060606,1888.141271844102,ssp245,inm-cm5-0
2025,24.071126893939393,1838.9421481148559,ssp245,miroc6
2025,24.094024621212117,1641.4984220462925,ssp245,mpi-esm1-2-hr
2025,22.588342803030304,2775.6442473526954,ssp245,noresm2-mm
2025,22.452244318181815,2009.5076576478982,ssp370,access-cm2
2025,23.500293560606057,1927.0038882965262,ssp370,inm-cm5-0
2025,23.308626893939394,1977.8843844485523,ssp370,miroc6
2025,22.407357954545457,1885.2480124150118,ssp370,mpi-esm1-2-hr
2025,23.35250946969697,2067.7720923940738,ssp370,noresm2-mm
2025,24.512244318181818,2050.708552219648,ssp585,access-cm2
2025,23.966960227272725,1579.2119548615367,ssp585,inm-cm5-0
2025,24.409460227272728,2025.3922516026707,ssp585,miroc6
2025,23.18735795454545,2082.220129975446,ssp585,mpi-esm1-2-hr
2025,24.084176136363638,1555.6098513055003,ssp585,noresm2-mm
2026,22.418910984848484,2098.7937670253536,ssp126,access-cm2
2026,23.616126893939395,1914.2472848238472,ssp126,inm-cm5-0
2026,23.792793560606057,1609.189486199032,ssp126,miroc6
2026,23.56652462121212,1554.6509871524208,ssp126,mpi-esm1-2-hr
2026,24.341676136363635,1602.8765211782195,ssp126,noresm2-mm
2026,23.24807765151515,1815.862439998848,ssp245,access-cm2
2026,23.476126893939394,1797.7130008212803,ssp245,inm-cm5-0
2026,23.294460227272726,1968.6887701799396,ssp245,miroc6
2026,23.05319128787879,1893.8983239715735,ssp245,mpi-esm1-2-hr
2026,22.7483428030303,2152.956607671372,ssp245,noresm2-mm
2026,23.78474431818182,1780.153517302649,ssp370,access-cm2
2026,23.296960227272724,1861.3324351236258,ssp370,inm-cm5-0
2026,24.55029356060606,1627.1707240966334,ssp370,miroc6
2026,23.484857954545458,1565.179416327155,ssp370,mpi-esm1-2-hr
2026,22.40250946969697,1483.3703949515475,ssp370,noresm2-mm
2026,23.016410984848488,1856.8087524260281,ssp585,access-cm2
2026,23.679460227272727,1761.5971234518913,ssp585,inm-cm5-0
2026,24.56362689393939,1730.1576226797351,ssp585,miroc6
2026,23.18152462121212,2266.1424773540552,ssp585,mpi-esm1-2-hr
2026,23.005009469696972,1875.7571784831237,ssp585,noresm2-mm
2027,23.613910984848484,2137.7290043235107,ssp126,access-cm2
2027,23.503626893939394,2155.205716229973,ssp126,inm-cm5-0
2027,22.931126893939393,2199.278015588036,ssp126,miroc6
2027,23.34485795454545,2156.565631286421,ssp126,mpi-esm1-2-hr
2027,23.880009469696972,2042.3642860848945,ssp126,noresm2-mm
2027,24.057244318181816,1848.4726217042648,ssp245,access-cm2
2027,23.330293560606062,1549.9883665968466,ssp245,inm-cm5-0
2027,23.236126893939396,1625.4504369100994,ssp245,miroc6
2027,23.00069128787879,1869.0385525881288,ssp245,mpi-esm1-2-hr
2027,23.280009469696967,1890.6501454320028,ssp245,noresm2-mm
2027,23.601410984848485,2003.8906254639198,ssp370,access-cm2
2027,23.71362689393939,1761.8730433444957,ssp370,inm-cm5-0
2027,23.711960227272726,1718.2279646354195,ssp370,miroc6
2027,23.973191287878787,1845.5858365184565,ssp370,mpi-esm1-2-hr
2027,23.710842803030303,1702.0311921585558,ssp370,noresm2-mm
2027,24.738910984848484,1775.8477233481915,ssp585,access-cm2
2027,23.506960227272728,1841.7412067024343,ssp585,inm-cm5-0
2027,24.056126893939393,1970.5174294512776,ssp585,miroc6
2027,24.185691287878786,1205.9340685545912,ssp585,mpi-esm1-2-hr
2027,22.670009469696968,2472.3514463028628,ssp585,noresm2-mm
2028,23.66224431818182,1912.6053750840097,ssp126,access-cm2
2028,23.27529356060606,1749.2753664037425,ssp126,inm-cm5-0
2028,23.90696022727273,1741.0479370359717,ssp126,miroc6
2028,23.46402462121212,1788.4411895276662,ssp126,mpi-esm1-2-hr
2028,24.01750946969697,1587.4905994683695,ssp126,noresm2-mm
2028,23.79557765151515,1837.1533386107494,ssp245,access-cm2
2028,23.44029356060606,1752.348918146699,ssp245,inm-cm5-0
2028,24.70362689393939,1781.5160436356025,ssp245,miroc6
2028,23.58069128787879,1961.0827215293625,ssp245,mpi-esm1-2-hr
2028,23.356676136363635,1517.3289943396871,ssp245,noresm2-mm
2028,24.246410984848485,1521.6094757578878,ssp370,access-cm2
2028,23.24862689393939,1753.6450359101916,ssp370,inm-cm5-0
2028,23.576126893939392,1574.8327323975002,ssp370,miroc6
2028,24.06152462121212,1335.9706144736256,ssp370,mpi-esm1-2-hr
